Date,Close
39855.00,27.53
39854.00,26.84
39853.00,28.77
39850.00,29.53
39849.00,28.53
39848.00,28.2
39847.00,27.67
39846.00,26.38
39843.00,26.53
39842.00,26.75
39841.00,27.75
39840.00,25.9
39839.00,25.31
39836.00,25.1
39835.00,25.57
39834.00,26.39
39833.00,25.23
39829.00,26.79
39828.00,26.23
39827.00,26.96
39826.00,27.55
39825.00,26.61
39822.00,27.9
39821.00,29.57
39820.00,29.77
39819.00,29.77
39818.00,29.09
39815.00,29.02
39813.00,27.97
39812.00,27.69
39811.00,28
39808.00,27.62
39806.00,27.8
39805.00,26.88
39804.00,28.39
39801.00,29.05
39800.00,28.43
39799.00,28.5
39798.00,28.95
39797.00,26.77
39794.00,26.89
39793.00,27.24
39792.00,27.02
39791.00,25.05
39790.00,25.28
39787.00,23.3
39786.00,21.99
39785.00,23.35
39784.00,23.31
39783.00,21.79
39780.00,23.93
39778.00,23.4
39777.00,21.38
39776.00,22.54
39773.00,22.57
39772.00,19
39771.00,21.05
39770.00,23.37
39769.00,24.07
39766.00,24.6
39765.00,27.4
39764.00,24.87
39763.00,26.49
39762.00,27.69
39759.00,28.34
39758.00,25.38
39757.00,28.68
39756.00,30.98
39755.00,29.12
39752.00,28.4
39751.00,29.92
39750.00,24.51
39749.00,25.24
39748.00,20.89
39745.00,21.5
39744.00,24.24
39743.00,24.86
39742.00,27.69
39741.00,30.83
39738.00,29.1
39737.00,31.15
39736.00,31.11
39735.00,36.1
39734.00,36.8
39731.00,30.06
39730.00,28.38
39729.00,29.4
39728.00,31.59
39727.00,33.36
39724.00,36.26
39723.00,36.52
39722.00,39.05
39721.00,39.73
39720.00,37.2
39717.00,41.78
39716.00,43.27
39715.00,41.99
39714.00,41.25
39713.00,41.39
39710.00,43.95
39709.00,41.65
39708.00,38.58
39707.00,39.88
39706.00,41.24
39703.00,43.54
39702.00,42.5
39701.00,43.1
39700.00,41.5
39699.00,43.01
39696.00,40.46
39695.00,39.35
39694.00,39.7
39693.00,40.05
39689.00,43.27
39688.00,44.16
39687.00,44.5
39686.00,44.07
39685.00,44.48
39682.00,46.12
39681.00,46.52
39680.00,47.7
39679.00,46.91
39678.00,47.92
39675.00,48.72
39674.00,49.06
39673.00,48.4
39672.00,49
39671.00,49.91
39668.00,49.88
39667.00,48.55
39666.00,50.09
39665.00,49.51
39664.00,48.33
39661.00,49.47
39660.00,49.98
39659.00,50.78
39658.00,51.07
39657.00,50.04
39654.00,51.21
39653.00,51.22
39652.00,51.38
39651.00,49.91
39650.00,49.26
39647.00,48.29
39646.00,48.66
39645.00,49.11
39644.00,47.79
39643.00,49.24
39640.00,49.57
39639.00,49.29
39638.00,48.1
39637.00,48.98
39636.00,48.66
39632.00,49.39
39631.00,49.17
39630.00,50.58
39629.00,51.04
39626.00,51.42
39625.00,51.85
39624.00,53.21
39623.00,53.04
39622.00,53.23
39619.00,53.73
39618.00,55.75
39617.00,55.61
39616.00,55.63
39615.00,55.19
39612.00,55.13
39611.00,54.89
39610.00,55.27
39609.00,55.78
39608.00,56.87
39605.00,57.03
39604.00,59.24
39603.00,58.39
39602.00,58.21
39601.00,58.79
39598.00,59.41
39597.00,58.66
39596.00,57.63
39595.00,57.78
39591.00,56.79
39590.00,57.91
39589.00,57.52
39588.00,58.3
39587.00,60.07
39584.00,60.69
39583.00,60.15
39582.00,58.32
39581.00,58
39580.00,58.18
39577.00,57.25
39576.00,58.7
39575.00,58.78
39574.00,61.18
39573.00,61.06
39570.00,61.35
39569.00,60.98
39568.00,60.12
39567.00,59.5
39566.00,60.47
39563.00,60.6
39562.00,59.93
39561.00,59.96
39560.00,58.21
39559.00,59.33
39556.00,58.59
39555.00,57.9
39554.00,58.74
39553.00,57.79
39552.00,58.33
39549.00,58.41
39548.00,59
39547.00,58.25
39546.00,58.75
39545.00,59.66
39542.00,59.17
39541.00,59.17
39540.00,58.54
39539.00,58.21
39538.00,55.79
39535.00,55.14
39534.00,54.91
39533.00,55.16
39532.00,55.32
39531.00,54.8
39527.00,52.9
39526.00,50.97
39525.00,52
39524.00,49.78
39521.00,50.94
39520.00,53.23
39519.00,54.92
39518.00,56.16
39517.00,53.82
39514.00,55.03
39513.00,56
39512.00,57.3
39511.00,56.5
39510.00,56.88
39507.00,56.94
39506.00,59.16
39505.00,59.25
39504.00,58.95
39503.00,58.85
39500.00,57.73
39499.00,57.15
39498.00,57.86
39497.00,58.34
39493.00,57.22
39492.00,57.36
39491.00,56.82
39490.00,56.94
39489.00,56.6
39486.00,56.4
39485.00,55.74
39484.00,54.94
39483.00,55.86
39482.00,58.23
39479.00,57.55
39478.00,56.65
39477.00,54.72
39476.00,56.48
39475.00,56.16
39472.00,56.68
39471.00,56.95
39470.00,56.49
39469.00,56.27
39465.00,58.12
39464.00,56.66
39463.00,56.99
39462.00,58.25
39461.00,60.82
39458.00,60.34
39457.00,63.13
39456.00,62.22
39455.00,60.85
39454.00,61.5
39451.00,61
